date,symbol,direction,confidence,score,predicted_magnitude,entry_price,exit_price,exit_reason,gross_pct,net_pnl,max_profit_pct,max_drawdown_pct
2026-01-01,IDEA,SHORT,0.8005,0.025508,0.031867,11.2,11.03,TARGET,0.015,131.8,0.025893,0.0
2026-01-01,HINDCOPPER,SHORT,0.7849,0.020667,0.02633,521.5,526.72,STOP,-0.01,-118.2,0.000767,-0.011505
2026-01-01,AIIL,SHORT,0.802,0.019991,0.024925,629.8,620.35,TARGET,0.015,131.8,0.015243,0.0
2026-01-01,HEG,SHORT,0.7563,0.017499,0.023136,626.0,632.26,STOP,-0.01,-118.2,0.007588,-0.010703
2026-01-01,VENTIVE,SHORT,0.8169,0.017475,0.021391,767.0,755.5,TARGET,0.015,131.8,0.016167,0.0
2026-01-02,GODFRYPHLP,LONG,0.7672,0.036611,0.047721,2290.0,2267.1,STOP,-0.01,-118.2,0.004367,-0.02917
2026-01-02,SAPPHIRE,LONG,0.7989,0.02218,0.027764,259.1,256.51,STOP,-0.01,-118.2,0.002123,-0.04149
2026-01-02,MMTC,LONG,0.6861,0.020008,0.029164,65.39,65.65,TRAILING,0.003978,21.58,0.009023,0.0
2026-01-02,GRAPHITE,LONG,0.7716,0.020005,0.025926,643.0,646.55,TRAILING,0.005523,37.03,0.010575,-0.00451
2026-01-02,DEVYANI,SHORT,0.7539,0.019603,0.026004,155.0,156.55,STOP,-0.01,-118.2,0.003806,-0.030065
2026-01-05,TARIL,SHORT,0.7648,0.024033,0.031422,336.75,331.7,TARGET,0.015,131.8,0.01559,-0.000148
2026-01-05,OLAELEC,SHORT,0.7584,0.022763,0.030013,41.25,41.66,STOP,-0.01,-118.2,0.011394,-0.015758
2026-01-05,GSPL,LONG,0.7671,0.022006,0.028687,311.0,315.66,TARGET,0.015,131.8,0.028778,0.0
2026-01-05,JBMA,LONG,0.705,0.020557,0.029159,659.2,661.58,TRAILING,0.003604,17.84,0.008647,-0.005992
2026-01-05,MMTC,SHORT,0.6922,0.018835,0.027209,67.7,68.38,STOP,-0.01,-118.2,0.006647,-0.017282
2026-01-06,OLAELEC,SHORT,0.8199,0.029895,0.03646,44.0,44.44,STOP,-0.01,-118.2,0.007955,-0.015909
2026-01-06,HINDCOPPER,SHORT,0.793,0.023683,0.029866,568.5,565.92,TRAILING,0.004546,27.26,0.009499,-0.008443
2026-01-06,JUBLINGREA,LONG,0.7763,0.019242,0.024787,740.0,751.1,TARGET,0.015,131.8,0.017297,-0.00527
2026-01-06,IDBI,LONG,0.7765,0.018475,0.023794,109.4,108.31,STOP,-0.01,-118.2,0.003108,-0.011883
2026-01-06,MSUMI,SHORT,0.764,0.017471,0.022868,52.8,53.33,STOP,-0.01,-118.2,0.007576,-0.013258
2026-01-07,OLAELEC,SHORT,0.8224,0.024903,0.03028,43.48,43.13,TRAILING,0.007944,61.24,0.012879,0.0
2026-01-07,TARIL,SHORT,0.7976,0.021062,0.026406,316.1,319.26,STOP,-0.01,-118.2,0.00522,-0.024834
2026-01-07,HINDCOPPER,SHORT,0.7488,0.017687,0.023619,574.8,572.65,TRAILING,0.003742,19.22,0.008699,-0.000348
2026-01-07,JUBLINGREA,LONG,0.7995,0.017578,0.021987,732.2,743.18,TARGET,0.015,131.8,0.021442,0.0
2026-01-07,MMFIN,LONG,0.7518,0.017089,0.022731,372.9,374.42,TRAILING,0.004072,22.52,0.009118,-0.006168
2026-01-08,OLAELEC,SHORT,0.8243,0.024424,0.029631,42.18,41.83,TRAILING,0.008343,65.23,0.013276,-0.001422
2026-01-08,TARIL,SHORT,0.8263,0.024137,0.029212,324.0,319.14,TARGET,0.015,131.8,0.017901,0.0
2026-01-08,IEX,LONG,0.7322,0.022324,0.03049,151.96,154.24,TARGET,0.015,131.8,0.016518,-0.000132
2026-01-08,MMTC,SHORT,0.8,0.022068,0.027587,67.55,68.23,STOP,-0.01,-118.2,0.002221,-0.010363
2026-01-08,JBMA,SHORT,0.8084,0.021985,0.027196,660.0,657.32,TRAILING,0.00406,22.4,0.009015,-0.004242
2026-01-09,TARIL,SHORT,0.8448,0.048439,0.057334,299.5,295.01,TARGET,0.015,131.8,0.049416,0.0
2026-01-09,JWL,SHORT,0.8168,0.044128,0.054022,304.6,303.56,TRAILING,0.003413,15.93,0.008372,-0.003119
2026-01-09,OLAELEC,SHORT,0.8207,0.043832,0.053408,40.27,39.67,TARGET,0.015,131.8,0.018624,-0.003725
2026-01-09,MMTC,SHORT,0.8224,0.042931,0.052202,65.39,65.12,TRAILING,0.004068,22.48,0.009023,-0.003212
2026-01-09,RVNL,SHORT,0.814,0.042597,0.052332,344.0,347.44,STOP,-0.01,-118.2,0.002762,-0.018459
2026-01-12,TARIL,SHORT,0.8639,0.041673,0.048238,275.85,271.71,TARGET,0.015,131.8,0.023745,-0.002356
2026-01-12,IDEA,SHORT,0.8589,0.041442,0.048252,11.39,11.3,TRAILING,0.008235,64.15,0.013169,0.0
2026-01-12,JWL,SHORT,0.8624,0.041296,0.047885,295.05,292.2,TRAILING,0.009647,78.27,0.014574,-0.001864
2026-01-12,GMDCLTD,SHORT,0.8568,0.040566,0.047343,555.0,552.8,TRAILING,0.003964,21.44,0.008919,-0.001802
2026-01-12,HFCL,SHORT,0.8625,0.040349,0.046779,65.0,64.03,TARGET,0.015,131.8,0.015231,-0.001231
2026-01-13,TARIL,LONG,0.749,0.028988,0.038704,270.5,272.88,TRAILING,0.008794,69.74,0.013863,-0.005176
2026-01-13,OLAELEC,LONG,0.7616,0.026276,0.034501,39.6,40.19,TARGET,0.015,131.8,0.021212,0.0
2026-01-13,TRIVENI,LONG,0.7977,0.024401,0.03059,345.15,346.66,TRAILING,0.004369,25.49,0.009416,-0.000435
2026-01-13,ELECON,LONG,0.7461,0.023978,0.03214,416.85,420.69,TRAILING,0.009202,73.82,0.014274,-0.006957
2026-01-13,MAHSCOOTER,LONG,0.8026,0.023384,0.029136,12770.0,12882.26,TRAILING,0.008791,69.71,0.013861,0.0
